City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san antonio de pale,-1.4014,5.6325,26.8,80,100,4.15,GQ,1701479575
1,albany,42.6001,-73.9662,6.79,88,100,0.89,US,1701479324
2,la asuncion,11.0333,-63.8628,26.87,85,6,7.79,VE,1701479575
3,aswan,24.0934,32.907,18.03,33,0,3.94,EG,1701479575
4,makinsk,52.6292,70.4169,-2.06,96,100,6.5,KZ,1701479575
5,waitangi,-43.9535,-176.5597,14.34,59,5,2.6,NZ,1701479576
6,atafu village,-8.5421,-172.5159,28.79,78,100,4.47,TK,1701479573
7,grytviken,-54.2811,-36.5092,2.44,81,14,5.83,GS,1701479453
8,adamstown,-25.066,-130.1015,22.27,73,0,5.12,PN,1701479566
9,tiksi,71.6872,128.8694,-30.56,99,100,2.68,RU,1701479576
10,puerto natales,-51.7236,-72.4875,1.67,95,39,1.83,CL,1701479576
11,sovetskiy,61.3614,63.5842,-18.83,98,100,1.25,RU,1701479576
12,port-aux-francais,-49.35,70.2167,4.03,91,100,12.32,TF,1701479577
13,barra de santo antonio,-9.4047,-35.5072,24.6,83,73,4.64,BR,1701479486
14,bethel,41.3712,-73.414,7.52,86,100,2.57,US,1701479570
15,alice springs,-23.7,133.8833,28.75,34,0,5.14,AU,1701479577
16,thompson,55.7435,-97.8558,-12.91,78,100,4.12,CA,1701479432
17,hadibu,12.65,54.0333,25.54,69,100,6.57,YE,1701479577
18,hewitt,31.4624,-97.1958,13.46,66,0,2.06,US,1701479578
19,vorgashor,67.5833,63.95,-11.91,87,100,2.03,RU,1701479578
20,ballina,-28.8667,153.5667,29.32,48,1,3.98,AU,1701479578
21,iqaluit,63.7506,-68.5145,-6.28,67,100,7.15,CA,1701479569
22,bredasdorp,-34.5322,20.0403,15.21,83,0,2.14,ZA,1701479578
23,edinburgh of the seven seas,-37.0676,-12.3116,13.45,74,40,6.78,SH,1701479569
24,komsomol'skiy,43.9783,46.6985,8.15,96,100,2.9,RU,1701479578
25,nyurba,63.2842,118.3319,-34.08,99,100,1.26,RU,1701479578
26,sinabang,2.4803,96.3801,26.35,83,100,3.53,ID,1701479579
27,forbes,-33.3833,148.0167,27.43,29,3,5.52,AU,1701479579
28,wailua homesteads,22.0669,-159.378,26.24,87,0,3.6,US,1701479579
29,keflavik,64.0049,-22.5624,-1.76,74,0,2.57,IS,1701479579
30,papatowai,-46.5619,169.4708,17.43,58,100,3.05,NZ,1701479579
31,utrik,11.2278,169.8474,26.92,79,100,10,MH,1701479579
32,port douglas,-16.4833,145.4667,36.63,42,22,2.8,AU,1701479580
33,happy valley-goose bay,53.3168,-60.3315,-2.46,96,99,1.09,CA,1701479458
34,port elizabeth,-33.918,25.5701,19.06,81,100,0.89,ZA,1701479571
35,ushuaia,-54.8,-68.3,2.61,99,98,1.07,AR,1701479580
36,pamanukan,-6.2842,107.8106,27.7,75,100,0.65,ID,1701479580
37,saipan,15.1355,145.701,24.39,100,100,4.12,MP,1701479580
38,badger,64.8,-147.5333,-18.07,85,20,0,US,1701479580
39,blackmans bay,-43.0167,147.3167,17.07,64,100,3.1,AU,1701479581
40,brookings,44.3114,-96.7984,-1.01,62,100,3.6,US,1701479581
41,lycksele,64.5954,18.6735,-13.07,85,100,1.54,SE,1701479581
42,wynyard,-41,145.7167,16.76,71,100,1.27,AU,1701479370
43,college,64.8569,-147.8028,-18.03,78,20,0,US,1701479395
44,paradip garh,20.3167,86.6167,22.21,66,19,4.88,IN,1701479582
45,kamogawa,35.1,140.1,12.85,47,5,2.81,JP,1701479582
46,xinzhi,36.4989,111.7047,1.77,20,0,1.04,CN,1701479582
